15
Nova Cruz
Santo Antonio
Brejinho
Passa e Fica
Monte Alegre
Boa Saude
Montanhas
Espirito Santo
Pedro Velho
Lagoa Danta;
Goianinha
tangara
santa cruz
Parnamirim
Natal
0.00;18.80;999.9;26.10;999.9;999.9;19.70;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9
18.80;0.00;19.70;32.20;999.9;999.9;999.9;19.70;999.9;32.20;999.9;999.9;999.9;999.9;999.9
999.9;19.70;0.00;999.9;16.20;36.90;999.9;999.9;999.9;999.9;24.60;999.9;999.9;999.9;999.9
26.10;32.20;999.9;0.00;999.9;999.9;999.9;999.9;999.9;9.10;999.9;34.20;999.9;999.9;999.9
999.9;999.9;15.90;999.9;0.00;999.9;999.9;999.9;999.9;999.9;35.20;999.9;999.9;22.40;999.9
<<<<<<< HEAD:dados/AGRESTE POTIGUAR ROTAS.csv
999.9;999.9;36.90;999.9;999.9;0.00;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9
19.70;999.9;999.9;999.9;999.9;999.9;0.00;999.9;10.50;999.9;999.9;999.9;999.9;999.9;999.9
999.9;19.70;999.9;999.9;999.9;999.9;999.9;0.00;999.9;999.9;16.10;999.9;999.9;999.9;999.9
999.9;999.9;999.9;999.9;999.9;999.9;10.50;999.9;0.00;999.9;999.9;999.9;999.9;999.9;999.9
999.9;32.20;999.9;9.10;999.9;999.9;999.9;999.9;999.9;0.00;999.9;999.9;999.9;999.9;999.9
=======
999.9;999.9;37.10;999.9;999.9;0.00;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9
19.80;999.9;999.9;999.9;999.9;999.9;0.00;999.9;10.50;999.9;999.9;999.9;999.9;999.9;999.9
20.20;19.70;999.9;999.9;999.9;999.9;999.9;0.00;17.90;999.9;16.10;999.9;999.9;999.9;999.9
28.20;999.9;999.9;999.9;999.9;999.9;10.50;18.00;0.00;999.9;999.9;999.9;999.9;999.9;999.9
22.40;32.00;999.9;9.10;999.9;999.9;999.9;999.9;999.9;0.00;999.9;999.9;999.9;999.9;999.9
>>>>>>> 2b0ca7da952b4c551722e0874f5a4768f17dcb3f:dados/AGRESTE POTIGUAR ROTAS.txt
999.9;999.9;38.80;999.9;999.9;999.9;999.9;16.10;999.9;999.9;0.00;999.9;999.9;999.9;999.9
999.9;999.9;999.9;34.2;999.9;999.9;999.9;999.9;999.9;999.9;999.9;0.00;28.50;999.9;999.9
999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;28.50;0.00;999.9;999.9
999.9;999.9;999.9;999.9;22.40;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;0.00;20.10
999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;999.9;20.10;0.00
